parameter,output,S1,S1_conf,ST,ST_conf
budget,final_Ce,0.01345605836477984,0.08523432588202161,0.14101487218872635,0.13725425690473164
n_managers,final_Ce,0.26846713532951905,0.15828196662641306,0.3315401606349276,0.22640066023327482
invrem_removal_rate,final_Ce,0.1955141895599409,0.19152141262805344,0.27693414319414883,0.18170574746160278
invrem_native_boost,final_Ce,-0.027547598641144536,0.08293640334787869,0.14163776378962806,0.10855243223208087
ecorest_native_gain,final_Ce,-0.02568374721958819,0.04975723064363528,0.01745731266270534,0.00907863018212709
eco_invasive_threshold,final_Ce,0.05971543946449718,0.17717102798199208,0.12139746813116997,0.05464036553260419
eco_passive_recovery_other,final_Ce,0.036690773219828825,0.0650052779061986,0.05381237742003053,0.03613786267802933
eco_passive_canopy_recovery,final_Ce,-0.002498605256422272,0.06511477058993263,0.022297581189027155,0.01212121140223368
var_warming_rate,final_Ce,0.013071380106326429,0.06945331463791765,0.026691236642370213,0.019442700901519783
var_temp_anomaly_sd,final_Ce,0.011913511071796785,0.03810224898156037,0.0222265088396261,0.02116118280321028
var_precip_anomaly_sd,final_Ce,0.01426734324906792,0.05203071938135134,0.020287383054869292,0.012325030606804522
soc_budget_elasticity,final_Ce,-0.023624840943847262,0.03627942893375864,0.014301007006640904,0.010339471107749207
soc_engagement_threshold,final_Ce,0.012990001027088315,0.07283701735210188,0.09210663034160814,0.06271589091902216
pt_native_init_pct,final_Ce,0.17276590472544828,0.16232078930585458,0.20990233988484752,0.15317889329815132
pt_invasive_init_pct,final_Ce,0.005609201459805003,0.045982863929444714,0.03330666071633258,0.024358915955268175
cl_invasive_mult,final_Ce,0.031023489059284173,0.043417758307674074,0.07162547696007457,0.05646678385400196
budget,final_invasive,0.06815744482553603,0.1126314499390363,0.10502127788140204,0.09410978714935098
n_managers,final_invasive,0.1557031392277924,0.2200352166630858,0.19578617655499517,0.16418078010872134
invrem_removal_rate,final_invasive,0.1595083511391236,0.24174143036443782,0.2070264320587627,0.1541913052242406
invrem_native_boost,final_invasive,0.021091109436852756,0.03572957947669052,0.01353404286301757,0.007363174667157413
ecorest_native_gain,final_invasive,-0.042343477272131225,0.10527437514595459,0.020381871656375915,0.010080821139223926
eco_invasive_threshold,final_invasive,0.3542610474860063,0.3893213958127906,0.5597301604815276,0.2505525733288427
eco_passive_recovery_other,final_invasive,-0.018277840269978956,0.049603748822186745,0.02164311663489069,0.012518610312989434
eco_passive_canopy_recovery,final_invasive,-0.03455439733139336,0.09465083689200954,0.027956670441834017,0.013594875739089629
var_warming_rate,final_invasive,-0.02004260720101924,0.078933080847507,0.016015722077769877,0.0065771109117104005
var_temp_anomaly_sd,final_invasive,-0.00797330142737374,0.054370253064275176,0.016995891918226737,0.009467223751356146
var_precip_anomaly_sd,final_invasive,-0.009872660041199837,0.06693513205655002,0.01780217191692412,0.007562032281521044
soc_budget_elasticity,final_invasive,-0.023949443808316054,0.060164950985435915,0.016420883206387554,0.008255066209692644
soc_engagement_threshold,final_invasive,-0.021776856175552202,0.05892012751825051,0.01956892814447452,0.009242146444794373
pt_native_init_pct,final_invasive,0.039610892741165166,0.04345750000595188,0.019921662486538698,0.016579350472658315
pt_invasive_init_pct,final_invasive,-0.01941284880541127,0.07843184417397084,0.02881712218763067,0.017375496914710974
cl_invasive_mult,final_invasive,0.09349880248924997,0.0985342938858157,0.13145981713170374,0.11115898071535196
budget,conflict_rate,0.04640176874570843,0.08276483078052133,0.07639411946433237,0.04704301817888098
n_managers,conflict_rate,0.29206279739945,0.199262536526917,0.4448572014339141,0.18254497436477696
invrem_removal_rate,conflict_rate,0.16882074384931475,0.15894094120306634,0.23550586322471337,0.10903081454735876
invrem_native_boost,conflict_rate,0.0030006443140498666,0.01922948497465211,0.003596550184593767,0.001339127370614714
ecorest_native_gain,conflict_rate,0.0025856779863243054,0.02081138499697844,0.004681272144226934,0.0024149992800915894
eco_invasive_threshold,conflict_rate,0.05747174224151357,0.10546400079681865,0.08230858109898025,0.05092348435865847
eco_passive_recovery_other,conflict_rate,0.004145260381731102,0.02894102530487277,0.009826126578464678,0.005366289762179907
eco_passive_canopy_recovery,conflict_rate,0.009369019753674941,0.017305078912533876,0.0028693622786944355,0.0009378883210744734
var_warming_rate,conflict_rate,-0.008263766729250612,0.01756649173269656,0.003999533482446304,0.0019768384942663512
var_temp_anomaly_sd,conflict_rate,0.010997812300108309,0.022559465964207964,0.00473884118677729,0.003019982363558765
var_precip_anomaly_sd,conflict_rate,0.013377090750381076,0.021614002829631624,0.0055205681856190705,0.0037274757771619672
soc_budget_elasticity,conflict_rate,0.0024026869151255303,0.018196909653910062,0.0038662156996981016,0.0015744882896735703
soc_engagement_threshold,conflict_rate,0.0028927602228888787,0.025444800418572486,0.009580700660223653,0.007863286060981418
pt_native_init_pct,conflict_rate,-0.013548777374171093,0.024015826664611536,0.004229809652647756,0.0017358453887988136
pt_invasive_init_pct,conflict_rate,0.012733205417382654,0.051069400171532525,0.0317478119917215,0.016446905189837248
cl_invasive_mult,conflict_rate,0.19310635807229592,0.21200387339733667,0.3794284696006221,0.1715988713879175
